Contig_Name	Length
AgU000262_v1.1	3369
AgU000263_v1.1	3369
AgU000264_v1.1	3362
AgU000265_v1.1	3361
AgU000266_v1.1	3351
AgU000268_v1.1	3344
AgU000269_v1.1	3342
AgU000270_v1.1	3343
AgU000271_v1.1	3335
AgU000272_v1.1	3335
AgU000273_v1.1	3332
AgU000274_v1.1	3323
AgU000275_v1.1	3320
AgU000276_v1.1	3318
AgU000277_v1.1	3320
AgU000278_v1.1	3312
AgU000279_v1.1	3310
AgU000280_v1.1	3312
AgU000281_v1.1	3306
AgU000282_v1.1	3307
AgU000283_v1.1	3309
AgU000284_v1.1	3302
AgU000285_v1.1	3310
AgU000286_v1.1	3307
AgU000287_v1.1	3305
AgU000288_v1.1	3303
AgU000289_v1.1	3300
AgU000290_v1.1	3292
AgU000291_v1.1	3298
AgU000292_v1.1	3298
AgU000293_v1.1	3299
AgU000294_v1.1	3291
AgU000295_v1.1	3282
AgU000296_v1.1	3280
AgU000297_v1.1	3289
AgU000298_v1.1	3284
AgU000299_v1.1	3270
AgU000300_v1.1	3265
AgU000301_v1.1	3264
AgU000302_v1.1	3263
AgU000303_v1.1	3257
AgU000304_v1.1	3259
AgU000305_v1.1	3267
AgU000306_v1.1	3260
AgU000307_v1.1	3257
AgU000308_v1.1	3253
AgU000309_v1.1	3256
AgU000310_v1.1	3253
AgU000311_v1.1	3249
AgU000312_v1.1	3247
AgU000313_v1.1	3242
AgU000315_v1.1	3237
AgU000316_v1.1	3248
AgU000318_v1.1	3226
AgU000319_v1.1	3228
AgU000320_v1.1	3226
AgU000321_v1.1	3226
AgU000323_v1.1	3221
AgU000324_v1.1	3217
AgU000325_v1.1	3211
AgU000326_v1.1	3213
AgU000327_v1.1	3216
AgU000328_v1.1	3212
AgU000329_v1.1	3211
AgU000330_v1.1	3206
AgU000331_v1.1	3210
AgU000332_v1.1	3203
AgU000333_v1.1	3203
AgU000334_v1.1	3204
AgU000335_v1.1	3200
AgU000336_v1.1	3193
AgU000337_v1.1	3200
AgU000338_v1.1	3199
AgU000339_v1.1	3196
AgU000340_v1.1	3198
AgU000341_v1.1	3196
AgU000342_v1.1	3189
AgU000343_v1.1	3191
AgU000344_v1.1	3189
AgU000345_v1.1	3187
AgU000346_v1.1	3184
AgU000347_v1.1	3185
AgU000348_v1.1	3183
AgU000349_v1.1	3179
AgU000350_v1.1	3181
AgU000351_v1.1	3177
AgU000352_v1.1	3168
AgU000353_v1.1	3173
AgU000354_v1.1	3147
AgU000355_v1.1	3161
AgU000356_v1.1	3166
AgU000357_v1.1	3148
AgU000358_v1.1	3155
AgU000359_v1.1	3151
AgU000360_v1.1	3148
AgU000361_v1.1	3149
AgU000362_v1.1	3144
AgU000363_v1.1	3141
AgU000364_v1.1	3138
AgU000365_v1.1	3132
AgU000366_v1.1	3142
AgU000367_v1.1	3130
AgU000368_v1.1	3124
AgU000369_v1.1	3123
AgU000370_v1.1	3126
AgU000371_v1.1	3124
AgU000373_v1.1	3124
AgU000374_v1.1	3119
AgU000375_v1.1	3113
AgU000376_v1.1	3122
AgU000377_v1.1	3118
AgU000379_v1.1	3113
AgU000380_v1.1	3105
AgU000381_v1.1	3106
AgU000382_v1.1	3092
AgU000383_v1.1	3101
AgU000384_v1.1	3098
AgU000385_v1.1	3093
AgU000386_v1.1	3093
AgU000387_v1.1	3092
AgU000388_v1.1	3091
AgU000389_v1.1	3089
AgU000390_v1.1	3087
AgU000391_v1.1	3089
AgU000392_v1.1	3084
AgU000393_v1.1	3081
AgU000394_v1.1	3076
AgU000395_v1.1	3088
AgU000396_v1.1	3076
AgU000397_v1.1	3073
AgU000398_v1.1	3070
AgU000399_v1.1	3068
AgU000400_v1.1	3066
AgU000401_v1.1	3060
AgU000402_v1.1	3068
AgU000403_v1.1	3062
AgU000404_v1.1	3057
AgU000405_v1.1	3052
AgU000406_v1.1	3059
AgU000407_v1.1	3057
AgU000408_v1.1	3050
AgU000409_v1.1	3036
AgU000410_v1.1	3041
AgU000411_v1.1	3043
AgU000412_v1.1	3036
AgU000413_v1.1	3039
AgU000414_v1.1	3037
AgU000415_v1.1	3023
AgU000416_v1.1	3034
AgU000417_v1.1	3032
AgU000418_v1.1	3038
AgU000419_v1.1	3031
AgU000420_v1.1	3031
AgU000421_v1.1	3032
AgU000422_v1.1	3028
AgU000423_v1.1	3029
AgU000424_v1.1	3029
AgU000425_v1.1	3026
AgU000426_v1.1	3018
AgU000427_v1.1	3018
AgU000428_v1.1	3011
AgU000429_v1.1	3011
AgU000430_v1.1	3009
AgU000431_v1.1	3004
AgU000432_v1.1	3007
AgU000433_v1.1	3000
AgU000434_v1.1	2999
AgU000435_v1.1	2999
AgU000436_v1.1	3001
AgU000437_v1.1	2999
AgU000438_v1.1	2995
AgU000439_v1.1	2994
AgU000440_v1.1	2991
AgU000441_v1.1	2988
AgU000442_v1.1	2989
AgU000443_v1.1	2984
AgU000444_v1.1	2982
AgU000445_v1.1	2983
AgU000447_v1.1	2981
AgU000448_v1.1	2975
AgU000449_v1.1	2978
AgU000450_v1.1	2978
AgU000451_v1.1	2982
AgU000452_v1.1	2973
AgU000453_v1.1	2974
AgU000454_v1.1	2962
AgU000455_v1.1	2968
AgU000456_v1.1	2956
AgU000457_v1.1	2959
AgU000458_v1.1	2962
AgU000459_v1.1	2958
AgU000460_v1.1	2952
AgU000461_v1.1	2958
AgU000462_v1.1	2951
AgU000463_v1.1	2957
AgU000464_v1.1	2952
AgU000465_v1.1	2947
AgU000466_v1.1	2950
AgU000467_v1.1	2947
AgU000468_v1.1	2948
AgU000469_v1.1	2948
AgU000470_v1.1	2943
AgU000471_v1.1	2938
AgU000472_v1.1	2944
AgU000473_v1.1	2944
AgU000474_v1.1	2942
AgU000475_v1.1	2943
AgU000476_v1.1	2937
AgU000477_v1.1	2929
AgU000478_v1.1	2930
AgU000479_v1.1	2931
AgU000480_v1.1	2933
AgU000481_v1.1	2927
AgU000482_v1.1	2927
AgU000483_v1.1	2918
AgU000484_v1.1	2913
AgU000485_v1.1	2919
AgU000486_v1.1	2918
AgU000487_v1.1	2916
AgU000488_v1.1	2913
AgU000489_v1.1	2911
AgU000490_v1.1	2907
AgU000491_v1.1	2907
AgU000492_v1.1	2906
AgU000493_v1.1	2905
AgU000494_v1.1	2906
AgU000495_v1.1	2904
AgU000496_v1.1	2901
AgU000497_v1.1	2902
AgU000498_v1.1	2901
AgU000499_v1.1	2897
AgU000500_v1.1	2895
AgU000501_v1.1	2900
AgU000502_v1.1	2898
AgU000503_v1.1	2897
AgU000504_v1.1	2899
AgU000505_v1.1	2893
AgU000506_v1.1	2897
AgU000507_v1.1	2893
AgU000508_v1.1	2888
AgU000509_v1.1	2892
AgU000510_v1.1	2880
AgU000511_v1.1	2890
AgU000512_v1.1	2891
AgU000513_v1.1	2890
AgU000514_v1.1	2889
AgU000515_v1.1	2888
AgU000516_v1.1	2881
AgU000517_v1.1	2871
AgU000518_v1.1	2875
AgU000519_v1.1	2865
AgU000520_v1.1	2869
AgU000521_v1.1	2862
AgU000522_v1.1	2868
AgU000523_v1.1	2865
AgU000524_v1.1	2864
AgU000525_v1.1	2866
AgU000526_v1.1	2849
AgU000527_v1.1	2864
AgU000528_v1.1	2863
AgU000529_v1.1	2865
AgU000530_v1.1	2865
AgU000531_v1.1	2862
AgU000533_v1.1	2860
AgU000534_v1.1	2856
AgU000535_v1.1	2850
AgU000536_v1.1	2851
AgU000537_v1.1	2847
AgU000538_v1.1	2846
AgU000539_v1.1	2848
AgU000540_v1.1	2850
AgU000541_v1.1	2847
AgU000542_v1.1	2846
AgU000543_v1.1	2838
AgU000544_v1.1	2845
AgU000545_v1.1	2845
AgU000547_v1.1	2839
AgU000548_v1.1	2837
AgU000549_v1.1	2836
AgU000550_v1.1	2839
AgU000551_v1.1	2839
AgU000553_v1.1	2834
AgU000554_v1.1	2834
AgU000555_v1.1	2827
AgU000556_v1.1	2826
AgU000557_v1.1	2824
AgU000558_v1.1	2820
AgU000559_v1.1	2827
AgU000560_v1.1	2827
AgU000561_v1.1	2829
AgU000562_v1.1	2823
AgU000563_v1.1	2822
AgU000564_v1.1	2820
AgU000565_v1.1	2822
AgU000566_v1.1	2815
AgU000567_v1.1	2819
AgU000568_v1.1	2812
AgU000569_v1.1	2814
AgU000570_v1.1	2813
AgU000571_v1.1	2813
AgU000572_v1.1	2812
AgU000573_v1.1	2806
AgU000575_v1.1	2810
AgU000576_v1.1	2807
AgU000577_v1.1	2804
AgU000578_v1.1	2804
AgU000579_v1.1	2802
AgU000581_v1.1	2799
AgU000582_v1.1	2797
AgU000584_v1.1	2793
AgU000585_v1.1	2786
AgU000586_v1.1	2791
AgU000587_v1.1	2791
AgU000588_v1.1	2795
AgU000589_v1.1	2792
AgU000590_v1.1	2793
AgU000591_v1.1	2793
AgU000592_v1.1	2791
AgU000593_v1.1	2784
AgU000594_v1.1	2797
AgU000595_v1.1	2780
AgU000596_v1.1	2787
AgU000597_v1.1	2786
AgU000598_v1.1	2782
AgU000599_v1.1	2783
AgU000600_v1.1	2776
AgU000601_v1.1	2782
AgU000602_v1.1	2774
AgU000603_v1.1	2776
AgU000604_v1.1	2776
AgU000605_v1.1	2763
AgU000606_v1.1	2768
AgU000607_v1.1	2764
AgU000608_v1.1	2762
AgU000609_v1.1	2763
AgU000610_v1.1	2761
AgU000611_v1.1	2756
AgU000612_v1.1	2754
AgU000613_v1.1	2760
AgU000614_v1.1	2761
AgU000615_v1.1	2760
AgU000616_v1.1	2758
AgU000617_v1.1	2757
AgU000618_v1.1	2756
AgU000619_v1.1	2753
AgU000620_v1.1	2753
AgU000621_v1.1	2753
AgU000622_v1.1	2757
AgU000623_v1.1	2748
AgU000624_v1.1	2751
AgU000625_v1.1	2749
AgU000626_v1.1	2746
AgU000627_v1.1	2741
AgU000628_v1.1	2748
AgU000629_v1.1	2743
AgU000630_v1.1	2740
AgU000631_v1.1	2739
AgU000632_v1.1	2736
AgU000633_v1.1	2734
AgU000634_v1.1	2735
AgU000635_v1.1	2736
AgU000636_v1.1	2730
AgU000638_v1.1	2731
AgU000639_v1.1	2733
AgU000640_v1.1	2719
AgU000641_v1.1	2733
AgU000642_v1.1	2728
AgU000643_v1.1	2724
AgU000644_v1.1	2729
AgU000645_v1.1	2727
AgU000646_v1.1	2723
AgU000647_v1.1	2722
AgU000648_v1.1	2718
AgU000649_v1.1	2720
AgU000650_v1.1	2712
AgU000651_v1.1	2714
AgU000652_v1.1	2711
AgU000653_v1.1	2716
AgU000654_v1.1	2710
AgU000655_v1.1	2710
AgU000656_v1.1	2714
AgU000657_v1.1	2710
AgU000658_v1.1	2708
AgU000659_v1.1	2707
AgU000660_v1.1	2709
AgU000661_v1.1	2706
AgU000662_v1.1	2707
AgU000663_v1.1	2701
AgU000664_v1.1	2705
AgU000665_v1.1	2704
AgU000666_v1.1	2699
AgU000667_v1.1	2700
AgU000668_v1.1	2699
AgU000669_v1.1	2699
AgU000670_v1.1	2694
AgU000671_v1.1	2689
AgU000672_v1.1	2697
AgU000673_v1.1	2694
AgU000674_v1.1	2693
AgU000675_v1.1	2694
AgU000676_v1.1	2689
AgU000677_v1.1	2686
AgU000678_v1.1	2686
AgU000679_v1.1	2686
AgU000680_v1.1	2685
AgU000681_v1.1	2680
AgU000682_v1.1	2684
AgU000683_v1.1	2681
AgU000684_v1.1	2675
AgU000685_v1.1	2676
AgU000686_v1.1	2675
AgU000687_v1.1	2674
AgU000688_v1.1	2667
AgU000689_v1.1	2674
AgU000690_v1.1	2671
AgU000691_v1.1	2671
AgU000692_v1.1	2668
AgU000693_v1.1	2668
AgU000694_v1.1	2669
AgU000695_v1.1	2671
AgU000696_v1.1	2674
AgU000697_v1.1	2664
AgU000698_v1.1	2669
AgU000699_v1.1	2658
AgU000700_v1.1	2660
AgU000701_v1.1	2659
AgU000702_v1.1	2661
AgU000703_v1.1	2662
AgU000704_v1.1	2657
AgU000705_v1.1	2658
AgU000706_v1.1	2654
AgU000707_v1.1	2655
AgU000708_v1.1	2650
AgU000709_v1.1	2660
AgU000710_v1.1	2653
AgU000711_v1.1	2654
AgU000712_v1.1	2655
AgU000713_v1.1	2652
AgU000714_v1.1	2652
AgU000715_v1.1	2648
AgU000716_v1.1	2643
AgU000717_v1.1	2649
AgU000718_v1.1	2644
AgU000719_v1.1	2647
AgU000720_v1.1	2638
AgU000721_v1.1	2638
AgU000722_v1.1	2632
AgU000723_v1.1	2633
AgU000724_v1.1	2629
AgU000725_v1.1	2636
AgU000726_v1.1	2632
AgU000727_v1.1	2631
AgU000728_v1.1	2631
AgU000729_v1.1	2627
AgU000730_v1.1	2623
AgU000731_v1.1	2621
AgU000732_v1.1	2620
AgU000733_v1.1	2617
AgU000734_v1.1	2616
AgU000735_v1.1	2602
AgU000736_v1.1	2619
AgU000737_v1.1	2616
AgU000738_v1.1	2615
AgU000739_v1.1	2615
AgU000740_v1.1	2615
AgU000741_v1.1	2611
AgU000742_v1.1	2610
AgU000743_v1.1	2611
AgU000744_v1.1	2609
AgU000745_v1.1	2609
AgU000746_v1.1	2601
AgU000747_v1.1	2605
AgU000748_v1.1	2605
AgU000750_v1.1	2601
AgU000751_v1.1	2597
AgU000752_v1.1	2599
AgU000753_v1.1	2595
AgU000754_v1.1	2599
AgU000755_v1.1	2593
AgU000756_v1.1	2600
AgU000757_v1.1	2592
AgU000758_v1.1	2595
AgU000759_v1.1	2599
AgU000760_v1.1	2597
AgU000761_v1.1	2598
AgU000763_v1.1	2594
AgU000764_v1.1	2589
AgU000765_v1.1	2591
AgU000766_v1.1	2591
AgU000767_v1.1	2585
AgU000768_v1.1	2591
AgU000769_v1.1	2588
AgU000770_v1.1	2586
AgU000771_v1.1	2585
AgU000772_v1.1	2580
AgU000773_v1.1	2581
AgU000774_v1.1	2576
AgU000775_v1.1	2582
AgU000776_v1.1	2578
AgU000777_v1.1	2577
AgU000778_v1.1	2578
AgU000779_v1.1	2577
AgU000780_v1.1	2571
AgU000781_v1.1	2570
AgU000782_v1.1	2575
AgU000783_v1.1	2573
AgU000784_v1.1	2569
AgU000785_v1.1	2569
AgU000786_v1.1	2569
AgU000787_v1.1	2569
AgU000788_v1.1	2568
AgU000789_v1.1	2567
AgU000790_v1.1	2566
AgU000791_v1.1	2559
AgU000793_v1.1	2560
AgU000794_v1.1	2562
AgU000795_v1.1	2564
AgU000796_v1.1	2562
AgU000797_v1.1	2561
AgU000798_v1.1	2560
AgU000799_v1.1	2558
AgU000800_v1.1	2553
AgU000801_v1.1	2562
AgU000802_v1.1	2557
AgU000803_v1.1	2556
AgU000804_v1.1	2556
AgU000805_v1.1	2550
AgU000806_v1.1	2555
AgU000807_v1.1	2544
AgU000808_v1.1	2550
AgU000809_v1.1	2548
AgU000810_v1.1	2548
AgU000811_v1.1	2543
AgU000812_v1.1	2548
AgU000813_v1.1	2544
AgU000814_v1.1	2549
AgU000815_v1.1	2546
AgU000816_v1.1	2543
AgU000817_v1.1	2540
AgU000818_v1.1	2543
AgU000819_v1.1	2538
AgU000820_v1.1	2545
AgU000821_v1.1	2545
AgU000822_v1.1	2539
AgU000823_v1.1	2542
AgU000824_v1.1	2539
AgU000825_v1.1	2538
AgU000826_v1.1	2539
AgU000827_v1.1	2536
AgU000828_v1.1	2537
AgU000829_v1.1	2537
AgU000830_v1.1	2536
AgU000831_v1.1	2536
AgU000832_v1.1	2536
AgU000833_v1.1	2533
AgU000834_v1.1	2531
AgU000835_v1.1	2534
AgU000836_v1.1	2533
AgU000837_v1.1	2531
AgU000838_v1.1	2530
AgU000839_v1.1	2530
AgU000840_v1.1	2528
AgU000841_v1.1	2531
AgU000842_v1.1	2528
AgU000843_v1.1	2529
AgU000845_v1.1	2525
AgU000846_v1.1	2524
AgU000847_v1.1	2522
AgU000848_v1.1	2507
AgU000849_v1.1	2522
AgU000850_v1.1	2519
AgU000851_v1.1	2519
AgU000852_v1.1	2521
AgU000853_v1.1	2517
AgU000854_v1.1	2516
AgU000855_v1.1	2515
AgU000856_v1.1	2515
AgU000857_v1.1	2515
AgU000858_v1.1	2513
AgU000859_v1.1	2511
AgU000860_v1.1	2511
AgU000861_v1.1	2508
AgU000862_v1.1	2506
AgU000863_v1.1	2511
AgU000864_v1.1	2507
AgU000865_v1.1	2505
AgU000866_v1.1	2505
AgU000867_v1.1	2504
AgU000868_v1.1	2503
AgU000869_v1.1	2502
AgU000870_v1.1	2498
AgU000871_v1.1	2491
AgU000872_v1.1	2494
AgU000873_v1.1	2495
AgU000874_v1.1	2491
AgU000875_v1.1	2490
AgU000876_v1.1	2491
AgU000877_v1.1	2484
AgU000878_v1.1	2489
AgU000879_v1.1	2489
AgU000880_v1.1	2488
AgU000881_v1.1	2486
AgU000882_v1.1	2485
AgU000883_v1.1	2488
AgU000884_v1.1	2482
AgU000885_v1.1	2480
AgU000886_v1.1	2486
AgU000887_v1.1	2478
AgU000888_v1.1	2476
AgU000889_v1.1	2478
AgU000890_v1.1	2475
AgU000891_v1.1	2467
AgU000892_v1.1	2472
AgU000893_v1.1	2468
AgU000894_v1.1	2464
AgU000895_v1.1	2467
AgU000896_v1.1	2469
AgU000897_v1.1	2464
AgU000898_v1.1	2466
AgU000899_v1.1	2464
AgU000900_v1.1	2465
AgU000901_v1.1	2459
AgU000902_v1.1	2459
AgU000903_v1.1	2460
AgU000904_v1.1	2459
AgU000905_v1.1	2459
AgU000906_v1.1	2460
AgU000907_v1.1	2453
AgU000908_v1.1	2452
AgU000909_v1.1	2458
AgU000910_v1.1	2458
AgU000911_v1.1	2454
AgU000912_v1.1	2453
AgU000913_v1.1	2451
AgU000914_v1.1	2452
AgU000915_v1.1	2454
AgU000916_v1.1	2451
AgU000917_v1.1	2453
AgU000918_v1.1	2452
AgU000919_v1.1	2457
AgU000920_v1.1	2452
AgU000921_v1.1	2450
AgU000922_v1.1	2450
AgU000923_v1.1	2444
AgU000924_v1.1	2449
AgU000925_v1.1	2448
AgU000926_v1.1	2439
AgU000927_v1.1	2445
AgU000928_v1.1	2445
AgU000929_v1.1	2438
AgU000930_v1.1	2444
AgU000931_v1.1	2442
AgU000932_v1.1	2443
AgU000933_v1.1	2450
AgU000934_v1.1	2435
AgU000935_v1.1	2438
AgU000936_v1.1	2437
AgU000937_v1.1	2433
AgU000938_v1.1	2437
AgU000939_v1.1	2434
AgU000940_v1.1	2433
AgU000941_v1.1	2432
AgU000942_v1.1	2427
AgU000943_v1.1	2435
AgU000944_v1.1	2431
AgU000945_v1.1	2429
AgU000946_v1.1	2430
AgU000947_v1.1	2422
AgU000948_v1.1	2416
AgU000949_v1.1	2426
AgU000950_v1.1	2428
AgU000951_v1.1	2427
AgU000952_v1.1	2427
AgU000953_v1.1	2424
AgU000954_v1.1	2426
AgU000955_v1.1	2423
AgU000956_v1.1	2421
AgU000957_v1.1	2422
AgU000958_v1.1	2420
AgU000959_v1.1	2420
AgU000960_v1.1	2417
AgU000961_v1.1	2414
AgU000962_v1.1	2420
AgU000963_v1.1	2417
AgU000964_v1.1	2407
AgU000965_v1.1	2413
AgU000966_v1.1	2414
AgU000967_v1.1	2414
AgU000968_v1.1	2415
AgU000969_v1.1	2411
AgU000970_v1.1	2411
AgU000971_v1.1	2407
AgU000972_v1.1	2407
AgU000973_v1.1	2406
AgU000974_v1.1	2408
AgU000975_v1.1	2409
AgU000976_v1.1	2397
AgU000977_v1.1	2391
AgU000978_v1.1	2413
AgU000979_v1.1	2399
AgU000980_v1.1	2400
AgU000981_v1.1	2398
AgU000982_v1.1	2403
AgU000983_v1.1	2398
AgU000984_v1.1	2392
AgU000985_v1.1	2391
AgU000986_v1.1	2397
AgU000987_v1.1	2395
AgU000988_v1.1	2395
AgU000989_v1.1	2394
AgU000990_v1.1	2396
AgU000991_v1.1	2384
AgU000993_v1.1	2383
AgU000994_v1.1	2388
AgU000995_v1.1	2386
AgU000996_v1.1	2382
AgU000997_v1.1	2383
AgU000998_v1.1	2383
AgU001000_v1.1	2373
AgU001001_v1.1	2380
AgU001002_v1.1	2376
AgU001003_v1.1	2380
AgU001004_v1.1	2378
AgU001005_v1.1	2371
AgU001006_v1.1	2376
AgU001007_v1.1	2376
AgU001008_v1.1	2372
AgU001009_v1.1	2377
AgU001010_v1.1	2373
AgU001011_v1.1	2371
AgU001012_v1.1	2376
AgU001013_v1.1	2371
AgU001014_v1.1	2370
AgU001015_v1.1	2372
AgU001016_v1.1	2372
AgU001017_v1.1	2370
AgU001018_v1.1	2359
AgU001019_v1.1	2370
AgU001020_v1.1	2369
AgU001021_v1.1	2360
AgU001022_v1.1	2365
AgU001023_v1.1	2368
AgU001024_v1.1	2364
AgU001025_v1.1	2367
AgU001026_v1.1	2366
AgU001027_v1.1	2361
AgU001028_v1.1	2363
AgU001029_v1.1	2365
AgU001030_v1.1	2365
AgU001031_v1.1	2364
AgU001032_v1.1	2363
AgU001033_v1.1	2353
AgU001034_v1.1	2362
AgU001035_v1.1	2344
AgU001036_v1.1	2360
AgU001037_v1.1	2353
AgU001038_v1.1	2357
AgU001039_v1.1	2356
AgU001041_v1.1	2354
AgU001042_v1.1	2355
AgU001043_v1.1	2354
AgU001044_v1.1	2354
AgU001045_v1.1	2350
AgU001047_v1.1	2344
AgU001048_v1.1	2353
AgU001049_v1.1	2347
AgU001050_v1.1	2351
AgU001051_v1.1	2353
AgU001052_v1.1	2350
AgU001053_v1.1	2351
