Name,Contig Length,Average Depth,Percent Coverage,Max Depth
contig00127,4423,30,100,121
contig00128,4559,31.46,100,130
contig00129,4195,18.48,100,52
contig00130,4374,29.06,100,96
contig00131,5796,218.47,100,616
contig00132,4110,13.56,100,43
contig00133,4446,38.51,100,163
contig00134,4278,29.69,100,143
contig00135,4274,30.26,100,122
contig00136,3940,8.81,100,18
contig00137,4223,18.96,100,46
contig00138,4145,13.31,100,33
contig00139,4003,11.11,100,23
contig00140,4579,47.91,100,183
contig00141,4318,30.09,100,93
contig00142,4125,17.26,100,47
contig00143,4309,20.3,100,60
contig00144,4461,38.48,100,131
contig00145,4822,72.37,100,222
contig00146,3891,7.73,100,20
contig00147,4026,21.78,100,36
contig00148,4242,41.97,100,82
contig00149,4175,27.72,100,261
contig00150,4280,35.15,100,144
contig00151,4479,36.97,100,112
contig00152,3968,13.02,100,30
contig00153,4031,12.59,100,45
contig00154,3939,8.12,100,16
contig00155,4089,17.19,100,61
contig00156,4253,41.15,100,118
contig00157,4337,32.95,100,82
contig00158,3967,10.47,100,24
contig00159,4564,51.52,100,157
contig00160,4242,35.15,100,145
contig00161,4140,20.05,100,116
contig00162,3916,15.22,100,36
contig00163,4079,15.76,100,41
contig00164,4496,51.83,100,138
contig00165,3846,9.01,100,25
contig00166,4017,15.53,100,53
contig00167,4131,37.08,100,119
contig00168,4580,58.88,100,130
contig00169,4038,17.87,100,46
contig00170,3872,9.33,100,29
contig00171,3954,14.81,100,54
contig00172,3971,13.13,100,31
contig00173,4023,17.3,100,48
contig00174,3858,11.34,100,34
contig00175,4577,51.74,100,106
contig00176,3751,6.67,100,16
contig00177,4016,20.37,100,58
contig00178,3981,21.34,100,83
contig00179,4153,37.31,100,90
contig00180,4347,104.48,100,275
contig00181,3964,14.55,100,41
contig00182,4024,26.42,100,94
contig00183,3697,4.39,100,9
contig00184,3739,11.76,100,23
contig00185,3968,18.92,100,60
contig00186,3867,13.25,100,46
contig00187,3870,15.38,100,51
contig00188,3963,18.71,100,50
contig00189,3795,7.91,100,32
contig00190,3755,17.27,100,33
contig00191,4105,23.49,100,79
contig00192,3759,8.45,100,27
contig00193,3983,21.03,100,72
contig00194,4308,84.38,100,151
contig00195,3797,18.14,100,34
contig00196,3977,21.61,100,176
contig00197,3823,17.52,100,49
contig00198,4049,25.34,100,65
contig00199,3832,11.68,100,39
contig00200,3778,10.85,100,40
contig00201,3695,9.91,100,21
contig00202,3643,7.05,100,22
contig00203,4791,96.58,100,241
contig00204,4089,32.17,100,76
contig00205,4127,51.4,100,134
contig00206,3969,27.98,100,109
contig00207,3682,13.31,100,23
contig00208,3748,20.46,100,47
contig00209,3781,10.59,100,25
contig00210,3932,21.86,100,60
contig00211,3772,13.55,100,39
contig00212,3916,22.61,100,74
contig00213,3684,10.78,100,32
contig00214,4237,39.2,100,107
contig00215,4053,47.8,100,338
contig00216,3771,15.04,100,59
contig00217,3669,10.06,100,26
contig00218,3813,33.48,100,52
contig00219,3597,6.22,100,15
contig00220,3923,23.88,100,69
contig00221,3597,7.71,100,16
contig00222,4046,26,100,51
contig00223,4394,55.48,100,157
contig00224,3783,13.96,100,37
contig00225,3677,11.87,100,39
contig00226,3936,22.89,100,50
contig00227,3732,18.08,100,65
contig00228,4297,75.6,100,236
contig00229,3927,41.44,100,111
contig00230,4345,60.61,100,156
contig00231,4415,124.68,100,1069
contig00232,3615,11.68,100,23
contig00233,3615,13.1,100,31
contig00234,3771,13.47,100,30
contig00235,3690,11.49,100,31
contig00236,3635,18.9,100,42
contig00237,3572,18.68,100,41
contig00238,3657,11.49,100,27
contig00239,3896,29.67,100,90
contig00240,3827,17.17,100,63
contig00241,4063,36.06,100,95
contig00242,3691,16.66,100,54
contig00243,3581,17.49,100,41
contig00244,3698,12.95,100,44
contig00245,3649,16.14,100,48
contig00246,3599,10.86,100,39
contig00247,3821,22.16,100,49
contig00248,3635,16.95,100,33
contig00249,3841,41.29,100,165
contig00250,4293,64.65,100,213
contig00251,3569,6.57,100,19
contig00252,3751,18.47,100,45
contig00253,3545,11.27,100,24
contig00254,4287,77.19,100,348
contig00255,3571,11.01,100,25
contig00256,4107,44.73,100,127
contig00257,3693,17.65,100,48
contig00258,3599,13.09,100,41
contig00259,3467,8.12,100,18
contig00260,3465,8.11,100,22
contig00261,3480,8.47,100,27
contig00262,3982,41.18,100,100
contig00263,3626,18.87,100,50
contig00264,3610,20.73,100,59
contig00265,3675,16.82,100,54
contig00266,3481,17.95,100,37
contig00267,3712,22.55,100,68
contig00268,4151,60.05,100,207
contig00269,3535,11.61,100,28
contig00270,3513,9.78,100,21
contig00271,3624,13.98,100,44
contig00272,3453,8.21,100,20
contig00273,3697,19.26,100,52
contig00274,3620,18.88,100,64
contig00275,3716,28.39,100,109
contig00276,3426,7.79,100,15
contig00277,3727,30.67,100,139
contig00278,3682,23.13,100,94
contig00279,3635,18.88,100,58
contig00280,3507,9.66,100,32
contig00281,3447,9.03,100,26
contig00282,3559,23.11,100,65
contig00283,3434,10.49,100,28
contig00284,3423,10.65,100,32
contig00285,3393,7.97,100,19
contig00286,3604,17.54,100,41
contig00287,3584,29.02,100,112
contig00288,3530,11.91,100,34
contig00289,3410,8.11,100,25
contig00290,3535,14.08,100,64
contig00291,4073,46.48,100,88
contig00292,3749,22.71,100,76
contig00293,3904,38.96,100,118
contig00294,3425,8.47,100,27
contig00295,3663,12.2,100,23
contig00296,3472,9.37,100,32
contig00297,3830,33.36,100,64
contig00298,4078,64.5,100,172
contig00299,3856,37.92,100,115
contig00300,3573,20.79,100,70
contig00301,3477,11.88,100,35
contig00302,3591,20.28,100,76
contig00303,3485,15.04,100,37
contig00304,3572,15.25,100,45
contig00305,4120,67.71,100,127
contig00306,3484,11.13,100,33
contig00307,3874,47.38,100,227
contig00308,3311,5.4,100,16
contig00309,3405,8.86,100,23
contig00310,3893,43.25,100,89
contig00311,3663,19.91,100,48
contig00312,3693,26.22,100,57
contig00313,3888,51,100,185
contig00314,3504,22.62,100,74
contig00315,3380,12.97,100,27
contig00316,3549,21.52,100,105
contig00317,3944,54.55,100,160
contig00318,3433,7.77,100,18
contig00319,3887,48.54,100,132
contig00320,3688,36.91,100,164
contig00321,3388,13.09,100,29
contig00322,3320,10.82,100,21
contig00323,3348,7.28,100,19
contig00324,3446,12.59,100,42
contig00325,3745,37.89,100,128
contig00326,3416,9.85,100,33
contig00327,3638,23.05,100,52
contig00328,3524,20.72,100,53
contig00329,3528,21.38,100,87
contig00330,3386,10.13,100,21
contig00331,3347,9.93,100,39
contig00332,3571,27.82,100,120
contig00333,3424,9.08,100,21
contig00334,3321,6.92,100,21
contig00335,3616,44.06,100,80
contig00336,3718,41.72,100,114
contig00337,3344,10.24,100,33
contig00338,3324,8.16,100,18
contig00339,3254,9.48,100,18
contig00340,3572,23.12,100,59
contig00341,3274,7.43,100,20
contig00342,3361,10.97,100,43
contig00343,3508,25.52,100,74
contig00344,3493,17.53,100,46
contig00345,3394,12.54,100,39
contig00346,3269,6.7,100,18
contig00347,3413,9.23,100,31
contig00348,3487,19.14,100,56
contig00349,3455,14.94,100,43
contig00350,3272,8.36,100,19
contig00351,3526,19.99,100,41
contig00352,3411,12.69,100,37
contig00353,3334,16.31,100,29
contig00354,3501,32.96,100,93
contig00355,3213,6.99,100,16
contig00356,3328,10.44,100,21
contig00357,3279,8.7,100,26
contig00358,3325,12.38,100,27
contig00359,3432,21.88,100,80
contig00360,3469,17.8,100,34
contig00361,3435,13.57,100,35
contig00362,3608,27.89,100,64
contig00363,3543,36.34,100,198
contig00364,3206,5.99,100,11
contig00365,3390,11.26,100,26
contig00366,3695,46.12,100,154
contig00367,3248,7.72,100,22
contig00368,3209,5.69,100,10
contig00369,3367,13.55,100,49
contig00370,3502,21.24,100,46
contig00371,3266,14.16,100,28
contig00372,3316,8.67,100,17
contig00373,3713,53.72,100,302
contig00374,3620,33.37,100,98
contig00375,3312,9.24,100,27
contig00376,3353,17.89,100,40
contig00377,3234,14.44,100,31
contig00378,3257,7.89,100,20
contig00379,3521,40.14,100,241
contig00380,3217,6.41,100,14
contig00381,3241,6.84,100,16
contig00382,3333,13.56,100,61
contig00383,3466,18.06,100,37
contig00384,3906,72.34,100,226
contig00385,3370,20.61,100,49
contig00386,3592,44.53,100,105
contig00387,3823,50.43,100,175
contig00388,3329,14.18,100,35
contig00389,3200,9.67,100,23
contig00390,3341,13.61,100,57
contig00391,3467,31.6,100,90
contig00392,3315,23.42,100,59
contig00393,3610,47.76,100,159
contig00394,3271,12.67,100,44
contig00395,4011,190.51,100,811
contig00396,3492,23.72,100,68
contig00397,3301,16.96,100,53
contig00398,3319,15.03,100,49
contig00399,3231,7.48,100,23
contig00400,3310,14.42,100,56
contig00401,3242,12.78,100,41
contig00402,3319,14.17,100,37
contig00403,3203,6.69,100,16
contig00404,3184,15.14,100,30
contig00405,3426,23.99,100,70
contig00406,3330,23.03,100,43
contig00407,3168,7.39,100,20
contig00408,3113,5.58,100,15
contig00409,3235,10.33,100,39
contig00410,3163,10.62,100,46
contig00411,3156,14.1,100,24
contig00412,3152,9.02,100,19
contig00413,3155,6.6,100,16
contig00414,3245,10.94,100,30
contig00415,3128,6.18,100,24
contig00416,3468,27.75,100,53
contig00417,3777,45.15,100,114
contig00418,3113,5.89,100,13
contig00419,3348,16.27,100,41
contig00420,3601,42.58,100,114
contig00421,3727,53.34,100,139
contig00422,3178,8.86,100,19
contig00423,3122,7.75,100,23
contig00424,3236,12.45,100,35
contig00425,3232,14.03,100,32
contig00426,3169,13.29,100,30
contig00427,3525,40.11,100,162
contig00428,3138,6.58,100,13
contig00429,3211,13.13,100,83
contig00430,3303,16.76,100,61
contig00431,3051,5.93,100,11
contig00432,3209,12.79,100,51
contig00433,3732,49.16,100,125
contig00434,3323,24.38,100,71
contig00435,3195,9.92,100,26
contig00436,3293,32.43,100,57
contig00437,3572,37.58,100,109
contig00438,3185,10.32,100,30
contig00439,3277,25.88,100,91
contig00440,3099,9.15,100,23
contig00441,3161,8.37,100,19
contig00442,3199,15.7,100,76
contig00443,3244,25.68,100,46
contig00444,3029,4.59,100,10
contig00445,3287,23.73,100,66
contig00446,3470,68.78,100,169
contig00447,3336,20.5,100,60
contig00448,3523,30.34,100,82
contig00449,3382,37.74,100,150
contig00450,3144,14.14,100,49
contig00451,3196,16.77,100,72
contig00452,3135,9.13,100,26
contig00453,3384,25.99,100,65
contig00454,3238,15.3,100,41
contig00455,3315,21.22,100,67
contig00456,3089,9.24,100,19
contig00457,3271,21.01,100,63
contig00458,3273,22.36,100,70
contig00459,3081,9,100,27
contig00460,3192,13.9,100,28
contig00461,3073,8.24,100,16
contig00462,3089,9.91,100,25
contig00463,3164,10.81,100,33
contig00464,3199,17.09,100,58
contig00465,3059,11.16,100,26
contig00466,3107,9.85,100,22
contig00467,3208,16.97,100,54
contig00468,3029,5.54,100,10
contig00469,3374,28.41,100,79
contig00470,3140,12.77,100,42
contig00471,3953,94.07,100,303
contig00472,3766,64.35,100,238
contig00473,3228,17.93,100,54
contig00474,3160,14.9,100,79
contig00475,3050,6.12,100,17
contig00476,2998,6.4,100,15
contig00477,3057,6.05,100,13
contig00478,3096,15.04,100,33
contig00479,3315,26.43,100,75
contig00480,3680,70.93,100,216
contig00481,3394,31.99,100,113
contig00482,3092,13.28,100,29
contig00483,3140,17.78,100,43
contig00484,3218,17.15,100,50
contig00485,3081,25.06,100,44
contig00486,3062,12.59,100,65
contig00487,2974,5.89,100,12
contig00488,3130,12.84,100,39
contig00489,3394,32.95,100,84
contig00490,2992,7.78,100,13
contig00491,3162,18.25,100,41
contig00492,3028,8.36,100,38
contig00493,3067,10.99,100,25
contig00494,3134,18.75,100,39
contig00495,3203,29.02,100,110
contig00496,3037,8.15,100,18
contig00497,3079,11.84,100,26
contig00498,3183,17.03,100,43
contig00499,2997,5.71,100,11
contig00500,3247,26.61,100,68
contig00501,3348,57.8,100,338
contig00502,3167,19.41,100,41
contig00503,3276,24.55,100,76
contig00504,3240,26.22,100,65
contig00505,3022,7.25,100,28
contig00506,3081,9.47,100,25
contig00507,3320,37.94,100,103
contig00508,3341,37.39,100,140
contig00509,3024,9.87,100,28
contig00510,3265,24.18,100,71
contig00511,3052,12.75,100,31
contig00512,3831,129.68,100,390
contig00513,3001,12.1,100,24
contig00514,3621,94.8,100,316
contig00515,3108,14.08,100,37
contig00516,3248,30.74,100,163
contig00517,3145,18.14,100,51
contig00518,3147,14.9,100,43
contig00519,3193,20.06,100,67
contig00520,3110,15.86,100,30
contig00521,3220,20.09,100,96
contig00522,3019,10.43,100,26
contig00523,2953,10.04,100,21
contig00524,3113,13.96,100,60
contig00525,3419,35.35,100,86
contig00526,3049,9.23,100,20
contig00527,3065,14.41,100,55
contig00528,3374,49.39,100,201
contig00529,3074,13.86,100,37
contig00530,3180,25.62,100,103
contig00531,2933,6.14,100,16
contig00532,3083,21.66,100,36
contig00533,3142,16.46,100,43
contig00534,3103,16.16,100,67
contig00535,2994,10.08,100,25
contig00536,2960,11.75,100,20
contig00537,2945,10.92,100,26
contig00538,2985,9.8,100,20
contig00539,3209,29.58,100,87
contig00540,3030,14.34,100,49
contig00541,2987,8.23,100,17
contig00542,3033,15.83,100,50
contig00543,2982,7.13,100,16
contig00544,3204,28.16,100,124
contig00545,3617,75.41,100,228
contig00546,3800,99.43,100,139
contig00547,3211,27.92,100,88
contig00548,2959,9.73,100,18
contig00549,3238,26.02,100,52
contig00550,3296,34.32,100,87
contig00551,2989,10.64,100,24
contig00552,3321,36.14,100,87
contig00553,3029,17.85,100,63
contig00554,3079,16.72,100,52
contig00555,2990,12.98,100,29
contig00556,2939,7.84,100,26
contig00557,2868,4.77,100,11
contig00558,2969,8.99,100,24
contig00559,2895,8.77,100,18
contig00560,3175,20.7,100,59
contig00561,2889,6.75,100,14
contig00562,3284,44.74,100,138
contig00563,3562,67.37,100,243
contig00564,2877,5.8,100,14
contig00565,3235,33.08,100,133
contig00566,2885,7.89,100,12
contig00567,2974,9.09,100,19
contig00568,3243,31.31,100,98
contig00569,3091,24.36,100,67
contig00570,3261,29.17,100,64
contig00571,2876,7.29,100,18
contig00572,3195,21.52,100,55
contig00573,3058,15.8,100,57
contig00574,3045,14.04,100,31
contig00575,3196,18.86,100,64
contig00576,2850,5.78,100,11
contig00577,3062,12.72,100,31
contig00578,3952,100.56,100,217
contig00579,2901,6.77,100,14
contig00580,2945,10.42,100,27
contig00581,2815,3.94,100,7
contig00582,3038,18.65,100,56
contig00583,3255,45.48,100,134
contig00584,3226,46.34,100,96
contig00585,3101,21.52,100,77
contig00586,3023,15.07,100,40
contig00587,3125,27.93,100,101
contig00588,3094,20.92,100,102
contig00589,2933,9,100,14
contig00590,2940,13.78,100,56
contig00591,3310,46.09,100,91
contig00592,2971,14.18,100,57
contig00593,3084,20.29,100,45
contig00594,3130,24.68,100,61
contig00595,4676,299.26,100,663
contig00596,3787,85.41,100,184
contig00597,3181,25.66,100,96
contig00598,3134,26.78,100,64
contig00599,2858,7.1,100,18
contig00600,2915,7.39,100,21
contig00601,3035,18.33,100,52
contig00602,3263,32.35,100,67
contig00603,3088,19.48,100,46
contig00604,2993,13.64,100,37
contig00605,3098,20.39,100,51
contig00606,2973,12.92,100,25
contig00607,2847,8.25,100,17
contig00608,2926,13.75,100,29
contig00609,2909,6.93,100,12
contig00610,2850,6.17,100,15
contig00611,2909,9.66,100,25
contig00612,3337,89.34,100,153
contig00613,3302,41.56,100,160
contig00614,2843,8.58,100,21
contig00615,3137,28.09,100,73
contig00616,3154,28.49,100,101
contig00617,2911,10.79,100,34
contig00618,2804,5.73,100,11
contig00619,3001,15.26,100,56
contig00620,3067,25.83,100,82
contig00621,3234,40.5,100,133
contig00622,2858,5.9,100,12
contig00623,2907,9.64,100,29
contig00624,3013,31.33,100,93
contig00625,3039,21.07,100,70
contig00626,2945,11.92,100,22
contig00627,3013,20.26,100,53
contig00628,3171,23.66,100,65
contig00629,3066,33.34,100,98
contig00630,2861,9.83,100,31
contig00631,2943,13.06,100,38
contig00632,3307,50.35,100,137
contig00633,2870,7.82,100,16
contig00634,2900,18.28,100,66
contig00635,2793,5.58,100,14
contig00636,3307,52.64,100,129
contig00637,4487,331.61,100,818
contig00638,3223,53.93,100,163
contig00639,3033,24.4,100,100
contig00640,3046,26.33,100,103
contig00641,2923,11.05,100,22
contig00642,2859,16.1,100,36
contig00643,2899,8.99,100,20
contig00644,2995,32.65,100,55
contig00645,3064,20.73,100,81
contig00646,2812,10.06,100,24
contig00647,2794,7.85,100,26
contig00648,2902,10.57,100,34
contig00649,3001,24.85,100,79
contig00650,2917,16.31,100,56
contig00651,2750,4.56,100,9
contig00652,2872,11.1,100,38
contig00653,2952,12.84,100,35
contig00654,2870,12.76,100,31
contig00655,2932,25.64,100,98
contig00656,2853,18.15,100,40
contig00657,2838,8.95,100,15
contig00658,2819,10.08,100,29
contig00659,2826,7.49,100,21
contig00660,2784,6.11,100,12
contig00661,2978,17.27,100,59
contig00662,2802,8.75,100,18
contig00663,2773,5.81,100,18
contig00664,2746,7.11,100,18
contig00665,2940,14.71,100,33
contig00666,2831,10.97,100,30
contig00667,2808,6.37,100,11
contig00668,2966,17.35,100,42
contig00669,3368,71.98,100,228
contig00670,2804,6.77,100,14
contig00671,2847,13.37,100,26
contig00672,2828,9.22,100,20
contig00673,2940,22.12,100,79
contig00674,2801,7.54,100,17
contig00675,2863,19.28,100,40
contig00676,3853,170.19,100,267
contig00677,2838,11.36,100,27
contig00678,2880,17.77,100,92
contig00679,3041,82.81,100,518
contig00680,2875,18.7,100,57
contig00681,2748,7.74,100,26
contig00682,3232,44.85,100,162
contig00683,2894,13.23,100,36
contig00684,3066,24.48,100,58
contig00685,2849,11.89,100,35
contig00686,2738,6.33,100,13
contig00687,2852,14.69,100,33
contig00688,2745,5.12,100,12
contig00689,2817,11.44,100,40
contig00690,2749,9.72,100,19
contig00691,2747,6.65,100,13
contig00692,2918,27.94,100,55
contig00693,2842,11.19,100,28
contig00694,3121,29.25,100,84
contig00695,2750,6.54,100,15
contig00696,2888,19.55,100,43
contig00697,2833,12.01,100,36
contig00698,2961,17.84,100,44
contig00699,2846,10.92,100,31
contig00700,2783,7.38,100,22
contig00701,3082,52.97,100,245
contig00702,3579,110.03,100,319
contig00703,2987,27.34,100,94
contig00704,2708,6.9,100,12
contig00705,2797,14.08,100,28
contig00706,2790,6,100,16
contig00707,3391,64.71,100,156
contig00708,3022,25.47,100,88
contig00709,2939,17.75,100,56
contig00710,3037,26.75,100,83
contig00711,3206,40.97,100,91
contig00712,2832,16.12,100,46
contig00713,3049,20.57,100,43
contig00714,2916,21.48,100,59
contig00715,2839,13.52,100,47
contig00716,2835,11.68,100,32
contig00717,3184,51.01,100,157
contig00718,2707,8.07,100,17
contig00719,2747,10.75,100,20
contig00720,2795,9.27,100,22
contig00721,3092,31.03,100,75
contig00722,2713,5.88,100,13
contig00723,2926,19.69,100,91
contig00724,2750,9.52,100,29
contig00725,3065,26.57,100,52
contig00726,2972,29.73,100,80
contig00727,2931,24.95,100,82
contig00728,2951,33.51,100,71
contig00729,3047,29.26,100,48
contig00730,2749,11.02,100,22
contig00731,2676,5.95,100,12
contig00732,3613,123.72,100,356
contig00733,2755,8.78,100,20
contig00734,2845,17.16,100,57
contig00735,2745,6.78,100,21
contig00736,3257,64.56,100,208
contig00737,2704,6.5,100,21
contig00738,2732,13.59,100,29
contig00739,2677,11.55,100,28
contig00740,2968,26.43,100,65
contig00741,2849,16.35,100,59
contig00742,2741,8.11,100,16
contig00743,2812,26.9,100,44
contig00744,2701,7.39,100,25
contig00745,2688,8.4,100,13
contig00746,3328,71.97,100,175
contig00747,2810,13.41,100,37
contig00748,3286,70.8,100,170
contig00749,2794,13.3,100,43
contig00750,2669,8,100,18
contig00751,2779,13.68,100,43
contig00752,3030,63.4,100,310
contig00753,2752,12.6,100,33
contig00754,2705,10.89,100,26
contig00755,2691,4.88,100,9
contig00756,2666,7.81,100,13
contig00757,2840,31.94,100,128
contig00758,2710,10.75,100,19
contig00759,2804,12.13,100,25
contig00760,2774,11.02,100,33
contig00761,2665,7.71,100,25
contig00762,2759,8.77,100,23
contig00763,3093,33.09,100,74
contig00764,3477,104.34,100,262
contig00765,3128,46.89,100,103
contig00766,2765,10.91,100,41
contig00767,2649,4.81,100,14
contig00768,3217,44.39,100,131
contig00769,3464,69.56,100,153
contig00770,2806,18.06,100,52
contig00771,2762,12.7,100,38
contig00772,2941,24.92,100,46
contig00773,2660,6.44,100,11
contig00774,2773,12.55,100,39
contig00775,2723,12.86,100,42
contig00776,3053,56.63,100,253
contig00777,2745,15.58,100,38
contig00778,2672,9.16,100,15
contig00779,2765,17.94,100,34
contig00780,2664,9.41,100,31
contig00781,3857,204.95,100,463
contig00782,2781,17.35,100,70
contig00783,2746,15.56,100,45
contig00784,2613,5.48,100,11
contig00785,2667,7.17,100,19
contig00786,2811,16.78,100,37
contig00787,2637,10.33,100,21
contig00788,2776,16.32,100,27
contig00789,2644,5.51,100,17
contig00790,2693,10.82,100,32
contig00791,3094,56.71,100,294
contig00792,3411,198.78,100,370
contig00793,2769,11.73,100,30
contig00794,2808,18.19,100,60
contig00795,2620,7.71,100,17
contig00796,2631,7.47,100,15
contig00797,3193,70.51,100,173
contig00798,2834,21.95,100,61
contig00799,2808,27.96,100,53
contig00800,2834,16.34,100,57
contig00801,3579,192.43,100,338
contig00802,2751,17.77,100,36
contig00803,2817,17.33,100,44
contig00804,2784,14.5,100,28
contig00805,2979,31.37,100,98
contig00806,2917,27.61,100,55
contig00807,2734,10.39,100,35
contig00808,2700,13.21,100,53
contig00809,2651,6.16,100,15
contig00810,3020,54.43,100,130
contig00811,2881,32.46,100,94
contig00812,3651,293.87,100,1126
contig00813,2620,6.57,100,14
contig00814,2890,22.49,100,59
contig00815,2582,4.74,100,10
contig00816,2710,8.9,100,21
contig00817,2644,6.66,100,18
contig00818,2684,12.53,100,41
contig00819,2751,18.44,100,48
contig00820,2624,11.71,100,23
contig00821,2596,8.27,100,15
contig00822,2967,26.87,100,61
contig00823,2821,17.29,100,47
contig00824,2724,20.73,100,45
contig00825,2616,8.52,100,17
contig00826,2928,43.39,100,138
contig00827,2848,17.2,100,54
contig00828,2670,7.99,100,17
contig00829,2659,11.97,100,30
contig00830,2795,24.65,100,45
contig00831,2647,9.85,100,22
contig00832,2605,6.55,100,13
contig00833,2658,9.14,100,20
contig00834,2614,4.98,100,12
contig00835,2799,18.19,100,50
contig00836,2748,18.15,100,44
contig00837,2595,6.47,100,14
contig00838,2816,16.52,100,49
contig00839,2582,6.05,100,20
contig00840,3053,41.05,100,83
contig00841,3101,55.19,100,147
contig00842,2976,41.18,100,105
contig00843,2678,11.53,100,34
contig00844,2718,11.61,100,25
contig00845,2625,6.99,100,15
contig00846,2640,7.71,100,19
contig00847,2672,11.32,100,24
contig00848,2716,12.67,100,30
contig00849,2669,10.97,100,28
contig00850,2768,22.91,100,88
contig00851,2832,25.89,100,58
contig00852,2745,17.56,100,63
contig00853,2887,37.02,100,117
contig00854,2682,12.4,100,30
contig00855,2827,25.03,100,73
contig00856,2649,10.16,100,31
contig00857,2770,17.15,100,66
contig00858,2734,14.03,100,39
contig00859,3024,49.19,100,140
contig00860,2586,7.56,100,18
contig00861,2595,8.13,100,17
contig00862,2674,9.11,100,20
contig00863,2607,9.89,100,19
contig00864,2825,25.33,100,86
contig00865,2978,51.2,100,165
contig00866,2584,7.24,100,24
contig00867,2630,19.29,100,44
contig00868,2561,8.62,100,20
contig00869,3078,72.5,100,223
contig00870,2623,11.61,100,32
contig00871,2737,15.31,100,45
contig00872,2595,15.16,100,29
contig00873,2765,18.51,100,47
contig00874,2689,12.38,100,25
contig00875,2552,7.84,100,15
contig00876,2576,7.21,100,14
contig00877,2555,8.99,100,15
contig00878,2605,8.98,100,26
contig00879,2593,7.67,100,21
contig00880,2675,13.5,100,58
